name,address
Hong Hoai's Vietnamese Restaurant & Vegan Food,"Hong Hoai's Vietnamese Restaurant & Vegan Food, 20 P. Bát Đàn, Hàng Bồ, Hoàn Kiếm, Hà Nội 100000"
Nguyên Sinh Hà Nội Restaurant Francais,"Nguyên Sinh Hà Nội Restaurant Francais, 17 P. Lý Quốc Sư, Hàng Trống, Hoàn Kiếm, Hà Nội"
Pk Spice Indian Restaurant,"Pk Spice Indian Restaurant, 42 P. Hàng Hòm, Hàng Gai, Hoàn Kiếm, Hà Nội 100000"
Nhà Hàng Khoa Ngan,"Nhà Hàng Khoa Ngan, 77 P. Hai Bà Trưng, Cửa Nam, Hoàn Kiếm, Hà Nội"
Madam Tran Restaurant & Cookingclass Best Vietnamese Restaurant & Vegan Foods,"Madam Tran Restaurant & Cookingclass Best Vietnamese Restaurant & Vegan Foods, 42B P. Đào Duy Từ, Hàng Buồm, Hoàn Kiếm, Hà Nội 100000"
Salmonoid,"Salmonoid, 32C P. Cao Bá Quát, Điện Biên, Ba Đình, Hà Nội 118719"
Hải sản Xô Seafood,"Hải sản Xô Seafood, 112 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội"
Nhà Hàng Chợ Quê Hoàng Ngân,"Nhà Hàng Chợ Quê Hoàng Ngân, 1 Ng. 163 P. Hoàng Ngân, Trung Hoà, Cầu Giấy, Hà Nội 100000"
Ming Restaurant,"Ming Restaurant, Khách sạn Pan Pacific Hanoi, 1 Đ. Thanh Niên, Trúc Bạch, Ba Đình, Hà Nội"
Cloud Nine Restaurant,"Cloud Nine Restaurant, 27 P. Hàng Bè, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội 100000"
First Restaurant,"First Restaurant, 12 P. Tràng Thi, Street, Hoàn Kiếm, Hà Nội"
Tung's Kitchen Vietnamese Cuisine & Vegetarian Food,"Tung's Kitchen Vietnamese Cuisine & Vegetarian Food, 2 P. Hàng Bông, Hàng Gai, Hoàn Kiếm, Hà Nội 100000"
Downtown Cafe & Restaurant,"Downtown Cafe & Restaurant, 07 P. Hàng Muối, St, Hoàn Kiếm, Hà Nội 100000"
San Fu Lou Phan Chu Trinh (Nhà Hát Lớn Hà Nội),"San Fu Lou Phan Chu Trinh (Nhà Hát Lớn Hà Nội), 6 P. Phan Chu Trinh, Tràng Tiền, Hoàn Kiếm, Hà Nội"
Buffet Chef Dzung,"Buffet Chef Dzung, 71 Đ. Nguyễn Chí Thanh, Thành Công, Ba Đình, Hà Nội 100000"
Nhà hàng Asahi Sushi,"Nhà hàng Asahi Sushi, 288 P. Bà Triệu, Lê Đại Hành, Hai Bà Trưng, Hà Nội"
Gyu-Kaku Japanese BBQ,"Gyu-Kaku Japanese BBQ, V Tower, 1, 649 P. Kim Mã, Ngọc Khánh, Ba Đình, Hà Nội"
Nhà hàng Tầm Vị,"Nhà hàng Tầm Vị, 4b P. Yên Thế, Văn Miếu, Đống Đa, Hà Nội"
Nhà Hàng,"Nhà Hàng, 26 P. Linh Lang, Cống Vị, Ba Đình, Hà Nội"
Softwater Restaurant,"Softwater Restaurant, 42 Đ. 9, Tập thể F361 An Dương, Tây Hồ, Hà Nội 100000"
Tim Ho Wan Restaurant,"Tim Ho Wan Restaurant, Lotte Center HàNội, 36Floor, 54 P. Liễu Giai, Hà Nội"
Địa Chỉ Ẩm Thực Hà Nội - Món ngon Hà Nội,"Địa Chỉ Ẩm Thực Hà Nội - Món ngon Hà Nội, TOÀ SUNRISE, 57 P. Láng Hạ, Thành Công, Ba Đình, Hà Nội"
Nhà hàng sang trọng CRUs,"Nhà hàng sang trọng CRUs, 102 P. Ngọc Hà, Ngọc Hồ, Ba Đình, Hà Nội"
Bò Tơ Quán Mộc Hoa Lư,"Bò Tơ Quán Mộc Hoa Lư, 02 P. Hoa Lư, Lê Đại Hành, Hai Bà Trưng, Hà Nội 100000"
Nhà hàng Hatoyama - 13 Lý Thường Kiệt,"Nhà hàng Hatoyama - 13 Lý Thường Kiệt, 13 P. Lý Thường Kiệt, Phan Chu Trinh, Hoàn Kiếm, Hà Nội 100000"
Xôi Yến,"Xôi Yến, 35b P. Nguyễn Hữu Huân, Hàng Bạc, Hoàn Kiếm, Hà Nội 100000"
Nhà hàng Góc Quê,"Nhà hàng Góc Quê, 19 Ng. 183 Đặng Tiến Đông, Trung Liệt, Đống Đa, Hà Nội"
Home Mộc Restaurant,"Home Mộc Restaurant, 75 P. Nguyễn Đình Chiểu, Lê Đại Hành, Hai Bà Trưng, Hà Nội"
GIANG restaurant,"GIANG restaurant, 10a P. Khúc Hạo, Điện Biên, Ba Đình, Hà Nội 03000"
Nhà Hàng San Hô Hà Nội,"Nhà Hàng San Hô Hà Nội, 58 P. Lý Thường Kiệt, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội"
Hải Sản Tươi Ngon - Ô Chợ Dừa,"Hải Sản Tươi Ngon - Ô Chợ Dừa, 108 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội"
Nhà hàng Quán Đỏ,"Nhà hàng Quán Đỏ, 63 P. Vũ Thạnh, Chợ Dừa, Đống Đa, Hà Nội"
Rice Bistro,"Rice Bistro, 32 P. Hàng Mành, Hàng Gai, Hoàn Kiếm, Hà Nội"
Long Wang - Lẩu Hấp Thủy Nhiệt Hồng Kông - 539 Minh Khai,"Long Wang - Lẩu Hấp Thủy Nhiệt Hồng Kông - 539 Minh Khai, 539 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội 100000"
Bít Tết Ngọc Hiếu - Hoà Mã,"Bít Tết Ngọc Hiếu - Hoà Mã, 52 P. Lê Ngọc Hân, Ngô Thì Nhậm, Hai Bà Trưng, Hà Nội"
Nhà hàng Hanoi Garden,"Nhà hàng Hanoi Garden, 36 P. Hàng Mành, Hàng Gai, Hoàn Kiếm, Hà Nội 100000"
Nhà hàng,"Nhà hàng, Đ. Nguyễn Trãi, Thanh Xuân Trung, Hoàn Kiếm, Hà Nội"
November Restaurant,"November Restaurant, 105 P. Nguyễn Trường Tộ, Quán Thánh, Ba Đình, Hà Nội 100000"
Bò Tơ Quán Mộc 84 Ngọc Khánh,"Bò Tơ Quán Mộc 84 Ngọc Khánh, 84 P. Ngọc Khánh, Giảng Võ, Ba Đình, Hà Nội 100000"
Nét Huế Times,"Nét Huế Times, 458 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội 100000"
Nhà Hàng Chả Cá Lão Ngư,"Nhà Hàng Chả Cá Lão Ngư, 171 P. Thái Hà, Láng Hạ, Đống Đa, Hà Nội"
Sen Trang An Vietnamese Restaurant,"Sen Trang An Vietnamese Restaurant, 43 P. Hàng Bè, Hàng Bạc, Hoàn Kiếm, Hà Nội"
Quán Nhỏ,"Quán Nhỏ, 31 P. Láng Hạ, Chợ Dừa, Ba Đình, Hà Nội 10000"
